name,slug,value,date_of_information,ranking,region
"Cambodia","cambodia","9.37","2021 est.","34","East and Southeast Asia"
"Benin","benin","9.12","2021 est.","35","Africa"
"United Kingdom","united-kingdom","9.12","2021 est.","36","Europe"
"Croatia","croatia","9.11","2021 est.","37","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","8.87","2021 est.","38","Europe"
"Burkina Faso","burkina-faso","8.73","2021 est.","39","Africa"
"Serbia","serbia","8.63","2021 est.","40","Europe"
"Tunisia","tunisia","8.60","2021 est.","41","Africa"
"Lithuania","lithuania","8.58","2021 est.","42","Europe"
"Greenland","greenland","8.56","2019 est.","43","North America"
"Lesotho","lesotho","8.52","2021 est.","44","Africa"
"Bahamas, The","bahamas-the","8.51","2021 est.","45","Central America and the Caribbean"
"Guatemala","guatemala","8.49","2021 est.","46","Central America and the Caribbean"
"Philippines","philippines","8.49","2021 est.","47","East and Southeast Asia"
"Uzbekistan","uzbekistan","8.37","2021 est.","48","Central Asia"
"Antigua and Barbuda","antigua-and-barbuda","8.26","2021 est.","49","Central America and the Caribbean"
"China","china","8.22","2021 est.","50","East and Southeast Asia"
"Cyprus","cyprus","8.10","2021 est.","51","Europe"
"Switzerland","switzerland","7.91","2021 est.","52","Europe"
"Pakistan","pakistan","7.81","2021 est.","53","South Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","7.78","2021 est.","54","Africa"
"Kosovo","kosovo","7.76","2021 est.","55","Europe"
"Laos","laos","7.61","2021 est.","56","East and Southeast Asia"
"Algeria","algeria","7.36","2021 est.","57","Africa"
"Ethiopia","ethiopia","7.26","2021 est.","58","Africa"
"Kenya","kenya","7.17","2021 est.","59","Africa"
"Estonia","estonia","7.13","2021 est.","60","Europe"
"France","france","6.98","2021 est.","61","Europe"
"Morocco","morocco","6.84","2021 est.","62","Africa"
"Monaco","monaco","6.80","2015","63","Europe"
"Austria","austria","6.77","2021 est.","64","Europe"
"Belarus","belarus","6.70","2021 est.","65","Europe"
"Hungary","hungary","6.64","2021 est.","66","Europe"
"Tanzania","tanzania","6.50","2021 est.","67","Africa"
"Zimbabwe","zimbabwe","6.37","2021 est.","68","Africa"
"Gaza Strip","gaza-strip","6.22","2021 est.","69","Middle East"
"West Bank","west-bank","6.22","2021 est.","70","Middle East"
"Cote d'Ivoire","cote-divoire","6.20","2021 est.","71","Africa"
"South Africa","south-africa","6.12","2021 est.","72","Africa"
"Israel","israel","6.05","2021 est.","73","Middle East"
"Uruguay","uruguay","5.87","2021 est.","74","South America"
"Sweden","sweden","5.72","2021 est.","75","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","5.70","2021 est.","76","Central America and the Caribbean"
"Iceland","iceland","5.65","2021 est.","77","Europe"
"Malaysia","malaysia","5.65","2021 est.","78","East and Southeast Asia"
