name,slug,value,date_of_information,ranking,region
"Serbia","serbia","3,176,000","2021 est.","102","Europe"
"Papua New Guinea","papua-new-guinea","3,073,000","2021 est.","103","East and Southeast Asia"
"Denmark","denmark","3,051,000","2021 est.","104","Europe"
"Nicaragua","nicaragua","3,042,000","2021 est.","105","Central America and the Caribbean"
"Somalia","somalia","3,042,000","2021 est.","106","Africa"
"Norway","norway","2,971,000","2021 est.","107","Europe"
"Togo","togo","2,965,000","2021 est.","108","Africa"
"New Zealand","new-zealand","2,911,000","2021 est.","109","Australia and Oceania"
"Jordan","jordan","2,865,000","2021 est.","110","Middle East"
"Sierra Leone","sierra-leone","2,858,000","2021 est.","111","Africa"
"Finland","finland","2,820,000","2021 est.","112","Europe"
"Slovakia","slovakia","2,766,000","2021 est.","113","Europe"
"El Salvador","el-salvador","2,658,000","2021 est.","114","Central America and the Caribbean"
"Ireland","ireland","2,518,000","2021 est.","115","Europe"
"Tajikistan","tajikistan","2,500,000","2021 est.","116","Central Asia"
"Kyrgyzstan","kyrgyzstan","2,478,000","2021 est.","117","Central Asia"
"Costa Rica","costa-rica","2,426,000","2021 est.","118","Central America and the Caribbean"
"Kuwait","kuwait","2,363,000","2021 est.","119","Middle East"
"Liberia","liberia","2,289,000","2021 est.","120","Africa"
"Libya","libya","2,280,000","2021 est.","121","Africa"
"Congo, Republic of the","congo-republic-of-the","2,268,000","2021 est.","122","Africa"
"Oman","oman","2,259,000","2021 est.","123","Middle East"
"Central African Republic","central-african-republic","2,015,000","2021 est.","124","Africa"
"Turkmenistan","turkmenistan","1,998,000","2021 est.","125","Central Asia"
"Qatar","qatar","1,977,000","2021 est.","126","Middle East"
"Panama","panama","1,966,000","2021 est.","127","Central America and the Caribbean"
"Croatia","croatia","1,742,000","2021 est.","128","Europe"
"Georgia","georgia","1,724,000","2021 est.","129","Middle East"
"Lebanon","lebanon","1,719,000","2021 est.","130","Middle East"
"Uruguay","uruguay","1,702,000","2021 est.","131","South America"
"Eritrea","eritrea","1,675,000","2021 est.","132","Africa"
"Lithuania","lithuania","1,476,000","2021 est.","133","Europe"
"Jamaica","jamaica","1,418,000","2021 est.","134","Central America and the Caribbean"
"Albania","albania","1,378,000","2021 est.","135","Europe"
"Mongolia","mongolia","1,331,000","2021 est.","136","East and Southeast Asia"
"Gaza Strip","gaza-strip","1,249,000","2021 est.","137","Middle East"
"West Bank","west-bank","1,249,000","2021 est.","138","Middle East"
"Mauritania","mauritania","1,197,000","2021 est.","139","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1,169,000","2021 est.","140","Europe"
"Armenia","armenia","1,153,000","2021 est.","141","Middle East"
"Puerto Rico","puerto-rico","1,136,000","2021 est.","142","Central America and the Caribbean"
"Botswana","botswana","1,050,000","2021 est.","143","Africa"
"Slovenia","slovenia","1,036,000","2021 est.","144","Europe"
"Lesotho","lesotho","955,600","2021 est.","145","Africa"
"Latvia","latvia","955,000","2021 est.","146","Europe"
"Namibia","namibia","939,000","2021 est.","147","Africa"
"North Macedonia","north-macedonia","916,200","2021 est.","148","Europe"
